Geneid	Chr	Start	End	Strand	Length	data/BAM_sorted/A-B-1_sorted.bam	data/BAM_sorted/A-B-2_sorted.bam	data/BAM_sorted/A-F-1_sorted.bam	data/BAM_sorted/A-F-2_sorted.bam	data/BAM_sorted/A-R-1_sorted.bam	data/BAM_sorted/A-R-2_sorted.bam	data/BAM_sorted/M-B-1_sorted.bam	data/BAM_sorted/M-B-2_sorted.bam	data/BAM_sorted/M-F-1_sorted.bam	data/BAM_sorted/M-F-2_sorted.bam	data/BAM_sorted/M-R-1_sorted.bam	data/BAM_sorted/M-R-2_sorted.bam	data/BAM_sorted/P-1_sorted.bam	data/BAM_sorted/P-2_sorted.bam
BW25113_RS00075	NZ_CP009273.1	14168	15295	+	1128	2921	6152	2702	4884	3023	4693	2308	2422	2773	4931	2061	3942	8089	7624
BW25113_RS00080	NZ_CP009273.1	15445	16554	+	1110	923	1914	998	1640	1093	1629	1248	1283	1507	2890	1177	1055	2246	2058
BW25113_RS00085	NZ_CP009273.1	16754	16903	-	150	82	125	56	121	80	105	148	128	145	208	128	160	162	152
BW25113_RS00090	NZ_CP009273.1	17489	18652	+	1164	492	867	372	679	343	515	670	682	627	1197	545	733	1643	1378
BW25113_RS00095	NZ_CP009273.1	18721	19617	+	897	348	536	316	386	283	377	409	390	361	456	260	451	770	647
BW25113_RS25960	NZ_CP009273.1	19661	19795	-	135	41	43	23	31	17	25	26	34	40	37	13	35	83	70
BW25113_RS00100	NZ_CP009273.1;NZ_CP009273.1	19814;20259	20259;20508	-;-	695	321	385	300	403	297	337	148	161	141	235	105	140	391	338
BW25113_RS00110	NZ_CP009273.1	20818	21078	-	261	8618	13888	7693	11730	8308	12366	3580	2663	3426	5923	3373	2201	7461	7070
BW25113_RS00115	NZ_CP009273.1	21181	21396	+	216	122	148	101	107	153	133	69	60	78	70	45	60	80	87
BW25113_RS00120	NZ_CP009273.1	21407	22345	+	939	2927	4634	2627	3936	2817	3768	2588	2099	2378	3564	2150	2667	3775	3679
BW25113_RS00125	NZ_CP009273.1	22391	25204	+	2814	15608	25232	13553	20224	15196	21822	13700	12108	13192	27257	12621	16322	17891	17048
BW25113_RS00130	NZ_CP009273.1	25207	25698	+	492	1844	3047	1558	2548	1725	2742	1555	1306	1440	3228	1401	1746	2068	2019
BW25113_RS00135	NZ_CP009273.1	25826	26272	+	447	1151	1776	941	1527	1105	1450	738	573	769	1363	569	710	1176	1142
BW25113_RS00140	NZ_CP009273.1	26277	27224	+	948	1351	2372	1224	1957	1392	2036	866	686	861	1323	724	854	1685	1524
BW25113_RS00145	NZ_CP009273.1	27293	28204	+	912	464	790	470	697	616	869	6064	4933	5273	9298	5252	9444	1948	1692
BW25113_RS00150	NZ_CP009273.1	28374	29192	+	819	1182	1604	967	1392	1070	1591	1484	1220	1333	2246	1324	1657	1367	1381
BW25113_RS00165	NZ_CP009273.1	29651	30796	+	1146	1863	2967	1700	2622	1864	2852	456	381	514	900	630	451	526	514
BW25113_RS00170	NZ_CP009273.1	30817	34035	+	3219	3548	6744	3733	5885	4149	6677	1363	1212	1492	3631	2394	1327	1287	1110
BW25113_RS00180	NZ_CP009273.1	34300	34692	+	393	168	277	120	220	178	250	1374	1686	1314	2535	1128	1884	837	815
BW25113_RS00185	NZ_CP009273.1	34784	35371	-	588	31	29	24	19	25	24	95	87	94	89	52	84	31	42
BW25113_RS00190	NZ_CP009273.1	35380	36162	-	783	15	33	20	28	11	33	28	21	21	51	8	26	45	38
BW25113_RS00195	NZ_CP009273.1	36274	37824	-	1551	258	376	203	321	245	303	176	109	147	295	95	165	313	339
BW25113_RS00200	NZ_CP009273.1	37901	39115	-	1215	269	396	233	303	277	328	176	146	165	291	124	211	370	364
BW25113_RS00205	NZ_CP009273.1	39247	40386	-	1140	191	284	163	243	160	226	153	136	153	300	126	170	302	300
BW25113_RS00210	NZ_CP009273.1	40420	41931	-	1512	23	41	25	41	36	36	93	59	63	167	60	90	97	73
BW25113_RS00215	NZ_CP009273.1	42403	43170	+	768	10	24	7	14	8	15	39	52	48	80	38	60	28	32
BW25113_RS00220	NZ_CP009273.1	43188	44126	+	939	13	27	10	9	12	11	52	54	55	78	40	76	60	40
BW25113_RS00225	NZ_CP009273.1	44180	45463	+	1284	10	27	20	20	9	22	56	68	35	120	39	64	103	96
BW25113_RS00230	NZ_CP009273.1	45463	45747	+	285	2	11	4	10	4	3	10	7	8	11	10	12	15	32
BW25113_RS00235	NZ_CP009273.1	45807	47135	+	1329	26	22	24	23	20	22	52	31	27	51	25	26	68	71
BW25113_RS00240	NZ_CP009273.1	47246	47773	+	528	88	136	73	111	72	93	134	112	112	173	111	132	183	177
BW25113_RS00245	NZ_CP009273.1	47769	49628	+	1860	233	423	232	296	194	322	332	299	309	548	266	371	640	589
BW25113_RS00250	NZ_CP009273.1	49823	50299	+	477	977	1652	925	1483	998	1564	588	399	475	896	485	306	814	825
BW25113_RS00255	NZ_CP009273.1	50383	51222	-	840	1849	2506	1736	2391	1821	2375	1454	1110	1306	2613	1069	1097	1797	1819
BW25113_RS00260	NZ_CP009273.1	51232	51606	-	375	760	1128	695	911	731	1026	574	458	511	765	433	400	678	640
BW25113_RS00265	NZ_CP009273.1	51612	52430	-	819	4840	6841	4342	5954	4592	6224	2962	2284	2987	5367	2446	2150	3522	3471
BW25113_RS00270	NZ_CP009273.1	52430	53416	-	987	3020	4607	2856	3872	3042	4285	2281	1827	2404	3953	1984	1847	2667	2733
BW25113_RS00275	NZ_CP009273.1	53419	54702	-	1284	6093	9964	5858	8522	6529	9341	4961	4053	4844	8901	4295	4884	6569	6408
BW25113_RS00280	NZ_CP009273.1	54758	57109	-	2352	8991	13323	8400	10790	9591	12879	7195	5971	6992	10126	6232	8376	12018	11468
BW25113_RS00285	NZ_CP009273.1	57364	58176	+	813	1026	1667	899	1554	962	1356	642	524	655	1109	561	675	1103	1120
BW25113_RS00290	NZ_CP009273.1	58474	59121	+	648	200	360	215	350	217	307	98	73	68	109	98	83	297	326
BW25113_RS25860	NZ_CP009273.1	59121	59276	+	156	24	40	28	56	26	33	16	11	19	18	27	24	47	54
BW25113_RS25400	NZ_CP009273.1	59299	59474	-	176	5	4	2	6	5	6	0	4	1	3	0	3	5	4
BW25113_RS00295	NZ_CP009273.1	59690	60346	-	657	689	999	562	990	636	777	211	154	220	518	167	86	559	619
BW25113_RS00300	NZ_CP009273.1	60361	63264	-	2904	3831	5352	3141	4794	3495	3962	765	564	747	2448	488	379	3087	2800
BW25113_RS00305	NZ_CP009273.1	63432	65780	-	2349	824	1104	657	918	628	793	704	641	669	1210	449	637	1112	1071
BW25113_RS00310	NZ_CP009273.1	65858	66574	-	717	214	361	675	992	12758	16955	9	16	317	547	8147	10558	114	107
BW25113_RS00315	NZ_CP009273.1	66874	67749	+	876	423	656	6862	10496	152549	189234	1227	1202	12170	22660	94731	125967	476	432
BW25113_RS00320	NZ_CP009273.1	67838	68599	+	762	374	516	210	317	215	267	494	510	267	456	168	364	489	563
BW25113_RS00325	NZ_CP009273.1	68719	69414	-	696	593	752	538	810	555	783	312	293	321	692	322	280	546	506
BW25113_RS00330	NZ_CP009273.1	69401	71008	-	1608	1657	2248	1532	2178	1763	2330	763	508	680	1897	691	661	1682	1553
BW25113_RS00335	NZ_CP009273.1	70987	71967	-	981	2910	3998	2710	3453	3400	4256	1318	1100	1322	3159	1367	1428	3275	3092
BW25113_RS00340	NZ_CP009273.1	72134	73786	-	1653	677	951	631	751	640	720	803	649	670	1168	532	839	1207	1167
BW25113_RS00345	NZ_CP009273.1	73875	74003	+	129	10	22	9	10	13	14	14	7	5	10	3	10	26	23
BW25113_RS00350	NZ_CP009273.1	74108	75283	+	1176	275	427	270	402	253	382	241	204	208	358	159	268	518	532
BW25113_RS00355	NZ_CP009273.1	75338	75940	-	603	96	136	84	102	97	97	79	74	66	102	54	74	154	185
BW25113_RS00360	NZ_CP009273.1	75954	77351	-	1398	88	104	76	87	76	97	84	62	70	124	70	100	214	188
BW25113_RS00365	NZ_CP009273.1	77357	78445	-	1089	56	61	45	55	49	58	50	36	47	75	28	58	133	106
BW25113_RS00370	NZ_CP009273.1	78448	80016	-	1569	67	97	49	72	56	81	81	75	70	123	49	133	133	147
BW25113_RS00375	NZ_CP009273.1	80112	80195	-	84	0	0	2	2	1	1	0	2	0	4	2	3	0	2
BW25113_RS00380	NZ_CP009273.1	80855	81796	+	942	15	24	14	39	78	116	22	19	46	45	148	183	79	55
BW25113_RS25405	NZ_CP009273.1	81957	81998	-	42	3	0	0	1	0	0	0	0	0	0	0	0	0	0
BW25113_RS00385	NZ_CP009273.1	82117	83838	+	1722	207	247	161	191	208	277	236	195	201	341	219	292	387	424
BW25113_RS00390	NZ_CP009273.1	83844	84332	+	489	41	92	41	42	46	81	64	65	51	106	55	69	133	116
BW25113_RS00395	NZ_CP009273.1	84347	84430	+	84	4	1	3	1	3	5	2	0	0	0	0	1	5	3
BW25113_RS00400	NZ_CP009273.1	84515	85516	+	1002	2020	2914	1832	2553	2097	2806	7892	5865	6815	10469	6574	8277	4564	4419
BW25113_RS00405	NZ_CP009273.1	86121	86576	+	456	1133	1706	1026	1527	1079	1485	877	718	744	1183	655	886	1295	1333
BW25113_RS00410	NZ_CP009273.1	86581	87519	+	939	1651	2135	1320	1846	1412	1767	1285	1132	1168	1797	1060	1483	1865	1852
BW25113_RS00415	NZ_CP009273.1	87519	87881	+	363	372	462	288	392	285	392	309	237	222	361	223	277	439	430
BW25113_RS00420	NZ_CP009273.1	87900	89663	+	1764	1426	2147	1332	1758	1415	1798	1301	1040	1063	1430	946	1284	1930	1891
BW25113_RS00425	NZ_CP009273.1	89653	91137	+	1485	4214	6472	3562	5357	3865	5332	3451	2861	3097	5888	2622	3856	5404	5359
BW25113_RS00430	NZ_CP009273.1	91137	92492	+	1356	3736	5680	3255	4737	3465	4879	2862	2284	2699	5206	2386	3182	4076	4027
BW25113_RS00435	NZ_CP009273.1	92489	93568	+	1080	2239	3752	2116	3275	2255	3471	1769	1564	1642	3046	1424	1613	2299	2315
BW25113_RS00440	NZ_CP009273.1	93574	94887	+	1314	2656	4099	2167	3400	2397	3479	2428	2013	2002	4011	1818	2211	2764	2900
BW25113_RS00445	NZ_CP009273.1	94890	96131	+	1242	1758	2710	1655	2296	1632	2315	1251	978	1225	1998	909	1158	1794	1709
BW25113_RS00450	NZ_CP009273.1	96131	97195	+	1065	1680	2543	1554	2303	1451	2125	1478	1173	1278	2218	1060	1411	2210	1939
BW25113_RS00455	NZ_CP009273.1	97252	98724	+	1473	4665	6774	4075	6100	4121	6063	3767	2854	3187	5899	2745	3380	4772	4801
BW25113_RS00460	NZ_CP009273.1	98720	99637	+	918	2666	4030	2442	3580	2610	3582	2171	1807	1895	3132	1681	2062	2993	3014
BW25113_RS00465	NZ_CP009273.1	99642	100469	+	828	1263	1868	1093	1611	1228	1527	1042	834	891	1380	701	987	1365	1405
BW25113_RS00470	NZ_CP009273.1	100469	101728	+	1260	2206	3269	1930	2931	1999	2720	2065	1961	1924	3274	1716	2308	3137	3039
BW25113_RS00475	NZ_CP009273.1	101792	102940	+	1149	10774	16544	9553	13481	10362	13709	10266	9475	9683	20552	9356	12190	14546	13951
BW25113_RS00480	NZ_CP009273.1	103044	103958	+	915	12921	17981	11022	15871	11602	14958	10833	9143	9878	17129	8538	11354	18667	18204
BW25113_RS00485	NZ_CP009273.1	104192	104701	+	510	1742	2386	1590	1783	1667	1926	1548	1294	1502	1929	1269	1800	2251	2276
BW25113_RS00490	NZ_CP009273.1	104766	107468	+	2703	8817	13957	8285	12071	9224	11711	6476	5826	6686	10664	5286	8645	13483	12788
BW25113_RS00495	NZ_CP009273.1	107531	107917	+	387	142	250	143	190	163	183	101	67	81	111	85	78	184	154
BW25113_RS00505	NZ_CP009273.1	108139	108333	-	195	318	486	291	367	285	464	223	192	186	394	178	172	365	372
BW25113_RS00510	NZ_CP009273.1	108346	109086	-	741	1420	2001	1173	1657	1257	1615	939	691	873	1497	765	861	1560	1439
BW25113_RS00515	NZ_CP009273.1	109089	109706	-	618	624	767	491	672	496	675	477	383	401	612	312	385	779	695
BW25113_RS25965	NZ_CP009273.1	109731	109772	+	42	0	1	1	0	0	2	2	2	1	0	0	0	1	2
BW25113_RS00520	NZ_CP009273.1	109931	110971	+	1041	1360	2009	1142	1654	1050	1412	965	687	891	1441	788	980	2448	2357
BW25113_RS00525	NZ_CP009273.1	111012	112211	-	1200	115	141	78	123	91	110	69	77	94	148	73	58	132	118
BW25113_RS00530	NZ_CP009273.1	112204	113586	-	1383	133	225	126	143	105	145	150	121	153	199	110	151	152	194
BW25113_RS00535	NZ_CP009273.1	113599	114036	-	438	12	16	6	17	10	14	6	11	12	14	8	11	15	13
BW25113_RS00545	NZ_CP009273.1	114242	115132	-	891	969	1378	918	1099	837	1159	1092	812	968	1513	876	1071	1333	1369
BW25113_RS00550	NZ_CP009273.1	115220	115768	+	549	275	369	278	313	233	289	842	684	697	1048	585	907	636	611
BW25113_RS00555	NZ_CP009273.1	115768	116619	+	852	337	461	275	413	274	390	838	809	818	1457	621	1018	865	772
BW25113_RS00560	NZ_CP009273.1	116668	118038	-	1371	268	404	208	332	206	324	330	330	313	482	262	390	537	470
BW25113_RS00565	NZ_CP009273.1	118579	119340	+	762	583	750	527	652	787	692	627	534	921	684	528	1004	1557	1552
BW25113_RS00570	NZ_CP009273.1	119504	122164	+	2661	10739	11460	9673	10931	14222	14009	18673	17959	14096	25778	12526	22731	64736	56088
BW25113_RS00575	NZ_CP009273.1	122182	124071	+	1890	6692	7206	5743	6817	7463	9204	13069	10948	8844	19024	7845	14714	46393	40860
BW25113_RS00580	NZ_CP009273.1	124399	125820	+	1422	6896	7706	5751	6813	7710	9010	12212	10828	9150	18121	7590	13472	34158	30626
BW25113_RS00585	NZ_CP009273.1	125897	127747	-	1851	83	126	93	112	84	120	126	95	130	197	72	148	177	173
BW25113_RS00590	NZ_CP009273.1	128102	130696	+	2595	3958	5802	3650	5342	4350	5463	8982	8360	7734	12807	6899	14079	12797	11628
BW25113_RS00595	NZ_CP009273.1	130875	131234	+	360	116	164	70	175	118	141	210	209	200	342	216	259	227	223
BW25113_RS00600	NZ_CP009273.1	131278	132069	-	792	1425	2115	1376	1983	1498	1828	1134	913	937	1691	991	1094	2272	1951
BW25113_RS00605	NZ_CP009273.1	132088	132951	-	864	1331	1912	1259	1758	1357	1720	935	746	826	1475	791	792	2201	1928
BW25113_RS00610	NZ_CP009273.1	133060	133404	-	345	579	839	563	619	631	740	613	469	409	707	394	506	764	780
BW25113_RS00615	NZ_CP009273.1	133570	135117	+	1548	346	586	342	481	338	465	492	447	535	905	422	575	768	763
BW25113_RS00620	NZ_CP009273.1	135325	137712	-	2388	433	651	368	427	394	472	233	168	156	423	125	183	725	719
BW25113_RS00625	NZ_CP009273.1	137918	138451	+	534	2380	3480	2142	3094	2209	3130	1451	1074	1322	2432	1352	1212	1792	1816
BW25113_RS00630	NZ_CP009273.1	138498	139157	-	660	1969	2612	1780	2108	1840	2271	1928	1384	1701	2305	1581	1840	2232	2072
BW25113_RS00635	NZ_CP009273.1	139266	140189	+	924	1022	1619	948	1288	1240	1435	619	609	667	900	654	1041	1038	989
BW25113_RS00640	NZ_CP009273.1	140189	140956	+	768	860	1184	763	1050	842	1107	579	530	586	1061	566	845	827	720
BW25113_RS00645	NZ_CP009273.1	141064	141501	+	438	160	239	131	194	159	223	1316	1196	1096	1598	1101	1562	372	379
BW25113_RS00650	NZ_CP009273.1	141568	142794	+	1227	304	459	257	387	266	373	355	299	322	326	224	322	377	379
BW25113_RS00655	NZ_CP009273.1	142804	143181	-	378	1540	2102	1205	1626	1281	1916	1632	1176	1398	2364	1539	1635	2278	2237
BW25113_RS00660	NZ_CP009273.1	143455	144354	+	900	66	102	54	69	62	80	71	44	77	85	58	60	108	95
BW25113_RS00665	NZ_CP009273.1	144434	145282	-	849	2848	4238	2537	3517	2581	3613	3246	2874	3079	5360	2905	3959	4549	4321
BW25113_RS00670	NZ_CP009273.1	145297	146088	-	792	2371	3702	2203	3057	2147	3033	2439	1980	2256	3924	2165	2764	3510	3203
BW25113_RS00675	NZ_CP009273.1	146205	147440	-	1236	53	79	51	75	52	63	11	22	22	29	14	17	72	71
BW25113_RS00680	NZ_CP009273.1	147493	148086	-	594	5	10	10	6	11	11	1	6	8	4	1	5	11	10
BW25113_RS00685	NZ_CP009273.1	148116	148718	-	603	10	12	7	7	9	13	9	6	3	4	5	6	22	14
BW25113_RS00690	NZ_CP009273.1	148733	149299	-	567	6	10	6	9	9	23	4	4	4	14	6	6	17	19
BW25113_RS00695	NZ_CP009273.1	149319	151913	-	2595	40	68	45	54	28	55	19	36	15	33	15	28	109	93
BW25113_RS00700	NZ_CP009273.1	151951	152688	-	738	17	23	18	21	20	17	5	9	4	7	3	3	19	19
BW25113_RS00705	NZ_CP009273.1	152789	153370	-	582	10	13	18	12	12	18	5	5	5	8	4	3	5	7
BW25113_RS00710	NZ_CP009273.1	153743	154219	-	477	324	641	356	484	376	532	146	114	113	172	106	85	391	346
BW25113_RS00715	NZ_CP009273.1	154219	155613	-	1395	6275	9296	5514	7900	5888	7416	2203	1654	2054	4339	1564	1421	6501	6384
BW25113_RS00720	NZ_CP009273.1	155676	156569	-	894	372	589	399	555	415	492	411	353	348	703	266	293	732	699
BW25113_RS00725	NZ_CP009273.1	156639	157091	-	453	1211	2019	956	1808	1125	1747	2766	2331	2112	5350	1985	2662	3331	2987
BW25113_RS00730	NZ_CP009273.1	157272	157973	-	702	418	584	356	506	381	533	1080	1025	939	1229	889	1215	800	782
BW25113_RS00735	NZ_CP009273.1	157991	158518	-	528	344	562	381	370	321	395	371	294	312	522	311	330	413	418
BW25113_RS00740	NZ_CP009273.1	158592	161018	+	2427	1466	2100	1303	1947	1259	1782	1283	1042	1194	2223	1080	1309	1987	1928
BW25113_RS00750	NZ_CP009273.1	161217	163748	+	2532	2749	4484	2493	3798	2493	3915	1985	1638	1939	3513	1657	2030	3210	3054
BW25113_RS00755	NZ_CP009273.1	163971	166211	+	2241	463	556	387	552	468	461	396	474	512	715	319	379	684	671
BW25113_RS00760	NZ_CP009273.1	166265	167059	+	795	142	207	132	161	95	129	137	89	103	254	89	112	248	212
BW25113_RS00765	NZ_CP009273.1	167062	167949	+	888	107	143	84	129	112	120	80	80	96	118	40	76	171	161
BW25113_RS00770	NZ_CP009273.1	167949	169928	+	1980	283	455	252	428	249	377	216	145	233	447	147	209	397	380
BW25113_RS00775	NZ_CP009273.1	170092	171369	-	1278	4358	6342	3623	5285	4329	5910	3443	2965	3209	6243	3103	3468	5290	4916
BW25113_RS26045	NZ_CP009273.1	171535	171579	+	45	13	18	10	8	10	10	14	16	7	16	9	14	36	26
BW25113_RS00780	NZ_CP009273.1	171594	173012	+	1419	686	1164	639	863	638	932	967	922	894	1424	816	1132	1379	1388
BW25113_RS25410	NZ_CP009273.1	173039	173101	+	63	9	19	7	7	7	8	14	7	4	9	4	10	14	10
BW25113_RS00785	NZ_CP009273.1	173097	173438	+	342	539	954	467	745	524	761	619	534	558	982	514	637	1191	1078
BW25113_RS00790	NZ_CP009273.1	173491	174111	-	621	250	347	166	312	242	296	110	96	85	174	79	88	253	250
BW25113_RS00795	NZ_CP009273.1	174152	174949	-	798	514	726	469	614	474	616	391	307	346	612	269	359	646	554
BW25113_RS00800	NZ_CP009273.1	174945	175640	-	696	3316	4387	2885	3389	3098	4027	2696	2370	2437	5199	2492	2798	3669	3548
BW25113_RS00805	NZ_CP009273.1	175724	177238	+	1515	403	554	343	435	382	470	599	493	510	759	503	717	881	772
BW25113_RS00810	NZ_CP009273.1	177371	178792	+	1422	3113	4833	2423	3479	2187	3134	2651	2459	2648	5888	2084	2985	5756	5576
BW25113_RS00815	NZ_CP009273.1	178950	180104	+	1155	78	135	72	103	60	108	656	453	567	833	485	834	405	376
BW25113_RS00820	NZ_CP009273.1	180199	180582	-	384	349	462	242	349	293	380	1767	1861	1531	2200	1649	2657	1621	1522
BW25113_RS00825	NZ_CP009273.1	180747	181556	-	810	187	258	160	214	174	188	284	271	301	352	190	378	187	207
BW25113_RS00830	NZ_CP009273.1	181613	182434	-	822	5638	8184	4584	6399	5415	7530	7680	6605	6549	10781	6879	9355	6061	5938
BW25113_RS00835	NZ_CP009273.1	182468	185137	-	2670	1351	1911	1115	1490	1131	1548	1533	1302	1459	2865	1268	1474	1803	1715
BW25113_RS00840	NZ_CP009273.1	185202	185993	-	792	2885	4516	2679	3601	2796	3735	2619	2249	2346	3848	2225	2448	3171	2975
BW25113_RS00845	NZ_CP009273.1	186361	187083	+	723	47665	75307	46050	70437	54961	73878	26905	24100	24239	48270	26827	21141	37246	35930
BW25113_RS00850	NZ_CP009273.1	187344	188192	+	849	22804	38074	23665	35810	28247	39491	14899	12552	12939	27914	15393	12268	17189	16141
BW25113_RS00855	NZ_CP009273.1	188342	189064	+	723	3785	6549	3643	5645	4088	5765	1757	1787	1969	5339	1953	1320	2548	2337
BW25113_RS00860	NZ_CP009273.1	189359	189913	+	555	7614	11223	6730	9548	6894	9108	5320	4594	4790	8618	4371	4826	8377	8059
BW25113_RS00865	NZ_CP009273.1	190008	191201	+	1194	2600	3676	2281	3139	2260	2893	1492	1259	1398	2492	1042	1246	2874	2791
BW25113_RS00870	NZ_CP009273.1	191393	192148	+	756	2767	4317	2364	3598	2699	3419	1602	1164	1496	2115	1224	1445	3163	3251
BW25113_RS00875	NZ_CP009273.1	192164	193018	+	855	2610	3813	2395	3514	2543	3489	1444	1117	1297	2512	1019	1261	2822	2749
BW25113_RS00880	NZ_CP009273.1	193033	194382	+	1350	4514	6822	4042	5813	4100	5472	3129	2684	3038	4027	2239	3070	4826	4949
BW25113_RS00885	NZ_CP009273.1	194415	196844	+	2430	18491	29294	16956	25026	17475	25139	14843	12683	14239	26740	12966	13543	17090	17002
BW25113_RS00890	NZ_CP009273.1	196969	197451	+	483	10011	14811	9008	12520	9451	12430	10361	9192	9439	20228	9125	10480	9582	9175
BW25113_RS00895	NZ_CP009273.1	197458	198480	+	1023	14173	22612	13267	19418	13412	17969	10093	8544	9620	17653	8331	7930	11458	10735
BW25113_RS00900	NZ_CP009273.1	198588	199040	+	453	4257	5948	3899	5289	4113	5075	2495	2000	2483	3721	2213	1932	3113	3081
BW25113_RS00905	NZ_CP009273.1	199047	199832	+	786	6819	10541	6336	10253	6914	9060	4329	3709	4386	9634	4129	3563	5760	5608
BW25113_RS00910	NZ_CP009273.1	199835	200980	+	1146	1930	2864	1695	2764	1892	2454	1077	885	904	1785	746	928	2258	2145
BW25113_RS00915	NZ_CP009273.1	200980	201573	+	594	1149	1577	975	1483	940	1314	668	385	549	955	349	418	974	965
BW25113_RS00920	NZ_CP009273.1	201613	205092	+	3480	7129	9925	6052	9001	6112	8403	3725	2812	3415	6569	2871	2486	4990	4992
BW25113_RS00925	NZ_CP009273.1	205108	206064	+	957	6559	10434	6373	9285	6748	9315	4986	3815	4877	9280	4462	4099	6271	6064
BW25113_RS00930	NZ_CP009273.1	206166	208304	+	2139	426	671	435	529	405	507	567	551	465	730	377	611	1051	967
BW25113_RS00935	NZ_CP009273.1	208364	208750	+	387	158	228	138	197	141	206	271	222	216	336	213	301	334	321
BW25113_RS00940	NZ_CP009273.1	208818	210113	+	1296	844	1159	692	966	615	977	729	447	665	1161	631	695	1122	1022
BW25113_RS00945	NZ_CP009273.1	210168	210425	-	258	361	495	263	419	344	449	635	580	549	795	489	770	947	843
BW25113_RS00950	NZ_CP009273.1	210415	210612	-	198	260	404	237	304	293	338	534	503	517	500	431	656	779	693
BW25113_RS00955	NZ_CP009273.1	210778	211320	+	543	833	1176	706	940	680	918	835	687	744	1305	662	886	929	911
BW25113_RS00960	NZ_CP009273.1	211320	211739	+	420	295	523	288	392	263	407	273	233	297	428	219	366	413	352
BW25113_RS00965	NZ_CP009273.1	211756	212463	+	708	519	799	488	766	456	602	514	454	547	903	391	620	814	717
BW25113_RS00970	NZ_CP009273.1	212669	213490	-	822	165	281	161	237	163	214	134	113	161	197	96	113	211	166
BW25113_RS00975	NZ_CP009273.1	213547	215262	-	1716	14340	23020	12931	19390	14113	20911	10721	8574	9528	21586	11186	9864	15109	14138
BW25113_RS00980	NZ_CP009273.1	215377	216081	-	705	848	1142	756	918	874	1019	467	317	386	693	313	408	938	950
BW25113_RS00985	NZ_CP009273.1	216081	216482	-	402	1097	1390	997	1147	1010	1177	860	630	756	1182	656	863	1591	1535
BW25113_RS00990	NZ_CP009273.1	216603	217415	-	813	824	1293	1391	1670	3220	4091	820	817	820	1446	760	1035	1441	1234
BW25113_RS00995	NZ_CP009273.1	217458	218108	-	651	448	777	358	579	470	506	393	402	453	946	368	488	672	675
BW25113_RS01000	NZ_CP009273.1	218104	219132	-	1029	724	1357	737	1116	847	1024	603	701	768	1563	603	724	1088	965
BW25113_RS01005	NZ_CP009273.1	219320	219892	+	573	1462	1952	1320	1631	1281	1728	1500	1418	1438	1898	1359	1884	1875	1804
BW25113_RS01040	NZ_CP009273.1	225654	226454	+	801	106	130	86	114	104	92	105	89	82	101	85	127	148	138
BW25113_RS01045	NZ_CP009273.1	226457	227368	-	912	256	374	229	342	230	347	331	330	314	493	366	509	523	467
BW25113_RS01050	NZ_CP009273.1	227609	228406	+	798	1127	1356	851	1113	940	1223	1624	1510	1621	2229	1304	1858	2264	2231
